USERNAME,ABOUT
ONY Agency,None
Artem Malyi,None
Serg Morozov,None
Evgeny UPROCK,Дизайн директор. Прокачиваю и обучаю дизайнеров в http://school.uprock.ru/
Eduardo Garcia,"Hello, I'm Eduardo Garcia, UX/UI Designer from Brazil. Get in touch at garcia.eduardo.br@gmail.com."
Embacy Team,None
Vadim Orlov,None
Elisey Soloviev,None
Parco Studio,Parco (former Parcodiyellowstone) is an independent graphic design and visual communication studio based in Milan. We are mainly focused on brand identity and web design. We combine creativity with a strategic approach to shape our client contents. Traditional media and new technologies get together to create cont&#8230; <span class='variable-text-link fake-link'> Read More</span></div><div class='variable-text variable-text-full hide'>Parco (former Parcodiyellowstone) is an independent graphic design and visual communication studio based in Milan. We are mainly focused on brand identity and web design. We combine creativity with a strategic approach to shape our client contents. Traditional media and new technologies get together to create contemporary solutions with an international taste. We believe imaginations is the best tool for shaping the future. <span class='variable-text-link fake-link'> Read Less</span></div>
Pier-Luc Cossette,• Freelance UI/Ux Designer & Front-end dev.• Designer & Front-end dev @Locomotive• Ex Designer & Front-end dev @Stereo• Judge @ Awwwards
Gleb Podorozhnyy,"Born and raised in the sunny island of Cyprus, creating creative content in the new digital age. "
Corbinian Buchberger,None
Alexander Ivanov,Hola 👋🏻My name is Alexander and I am an UX-UI Designer at Creative Mules!
Deven Caron,None
Studio Naam.,"Naam is an international digital design studio that creates strategies, design and experiences to help move bold startups and evolving companies forward."
Gio Vasadze,None
Maciej Mach,"I’m Maciej Mach, a designer, partner at Uniforma Studio & academic teacher living and working in Poznan / Poland.I’m focusing on creating carefuly crafted UI/UX solutions.I always look for passionate people to work with. Let’s get in touch.hello@maciejmach.pl"
Huaman Studio,"Huaman is a visual communication studio focussed on Branding, Digital Design & Motion Graphics, based in Barcelona."
Lazarev. ✦,None
Emil Tybura,None
sangwon Yu,None
Dmitriy Stokoz,"I am a high-level professional, have been working in UI/UX design for 4+ years. Since 2016 I've mainly focused on UI/UX design and had a partnership with a lot of startups, B2B/B2C companies and individual customers.My stack of skills and knowledge:🔹 UI/UX Design🔹 Interaction Design🔹 Research🔹 Wire-f&#8230; <span class='variable-text-link fake-link'> Read More</span></div><div class='variable-text variable-text-full hide'>I am a high-level professional, have been working in UI/UX design for 4+ years. Since 2016 I've mainly focused on UI/UX design and had a partnership with a lot of startups, B2B/B2C companies and individual customers.My stack of skills and knowledge:🔹 UI/UX Design🔹 Interaction Design🔹 Research🔹 Wire-framing/Prototyping🔹 UI Animations🔹 Graphic design🔹 MarketingTools:🔹 Sketch🔹 Figma🔹 Adobe Experience Design🔹 Adobe Photoshop🔹 Adobe Illustrator🔹 InVision🔹 PrincipleTrusting my expertise in UI/UX Design you will revolutionize your industry with the best solution and my team would be happy to become a part of your success story by achieving new standards and goals.I will provide my Dribbble/Behance profile to you during the interview so you can see my works.Have an idea? Talk to us! 📩 <span class='variable-text-link fake-link'> Read Less</span></div>"
Dmitriy Shkliaruk,UI & UX Design Mail: amiako7250@gmail.comTelegram: @dshkliaruk
Anna Morawiak,None
Giuk Lee,None
Martin Briceno,Freelance designer focused on Visual and Web design. 
AVA Digital,"AVA is a small team. There are seven of us. Each of us is responsible for his/her part of the work. We are engaged in web design and site development of different difficulty. We do not take many projects, but concentrate on one or two ones doing everything efficiently, on time, and putting all our souls into it."
Alexander Laguta,None
Heewon Cho,None
Aleksandr Shingarev,None
Halo Lab,None
Anastasiia Khristoforova,Web & Mobile Design Mail: k_anastasiya_k@mail.ru
Dahye Kim,None
Konstantin Kotryahov,None
Quentin Hocdé,Lead Front-end and Creative developer @LocomotiveMTL | Former at Gobelins
Anastasiya Fomina,None
Elena Ru,"I am a brand designer, Perfectionist and aesthetic visual artist. I founded my own studio - LENARUD.esign.I will help you in the implementation of any design for your brand or project. I appreciate the significance, minimalism, aesthetics, conciseness and refinement in my works. At the moment, I have my own te&#8230; <span class='variable-text-link fake-link'> Read More</span></div><div class='variable-text variable-text-full hide'>I am a brand designer, Perfectionist and aesthetic visual artist. I founded my own studio - LENARUD.esign.I will help you in the implementation of any design for your brand or project. I appreciate the significance, minimalism, aesthetics, conciseness and refinement in my works. At the moment, I have my own team, with which we are creating:- Branding- Comprehensive corporate and visual identity- Logo Development- Instagram visual concept - Presentations, guides, packaging of information products- Website on Tilda <span class='variable-text-link fake-link'> Read Less</span></div>"
Anton Maydurov,None
Suyeon Shin,None
Baianat Interaction,We create humanized experiences that carry really values across cultures and nations. Our aim is to contribute to a better world by making solutions that incorporate good UX and cutting edge technology.Contact usEmail: hello@baianat.comWhatsApp and calls: 00201000111888
Татьяна Дунец,"Разрабатываю конверсионные сайты исходя из анализа конкурентов, с учетом болей ЦА,  прорабатываю конверсионные воронки, лид магниты, для повышения конверсии сайта и увеличения лидов.Также создаю рекламные баннеры и креативы под Вашу задачу."
Julia Galayda,"Hi! I am a UX/UI designer. Focused on minimalism, simplicity and clarity for users. Also working on any project themes.I work worldwide, and available for freelance work.Telegram:  @julserlineE-mail:  jul.galayda@gmail.com"
Александр Иванов,None
Константин Спасенко,"Привет!Нужен качественный дизайн точно к сроку?Делаю стильно, вовремя и учитываю все пожелания заказчика! Опыт работы более 4 лет.-Лендинг любой сложности и его верстка-Рекламные баннеры-Оформление соц сетей-Об&#8230; <span class='variable-text-link fake-link'> Read More</span></div><div class='variable-text variable-text-full hide'>Привет!Нужен качественный дизайн точно к сроку?Делаю стильно, вовремя и учитываю все пожелания заказчика! Опыт работы более 4 лет.-Лендинг любой сложности и его верстка-Рекламные баннеры-Оформление соц сетей-Обработка фотографийИнструменты:Adobe PhotoshopTildaAdobe IllustratorFigmaРаботаю с русскоговорящими и англоговорящими клиентами.Постоянным заказчикам делаю скидку.Приглашаю к сотрудничеству!:)VK: vk.com/spkd92Telegram: @Konstantin_SpasenkoWhatsApp: +79534050798 <span class='variable-text-link fake-link'> Read Less</span></div>"
Rron Berisha,"Hey, I'm Rron. I am a visual designer focused on interactive digital experiencesI'm passionate about solving user and business problems, intuitively by crafting beautiful experiences. I despise empty and cold depictions, as I believe that design without beauty is void of emotionContact:hello@rronberisha.com"
Maksim Kyshtymov,None
Ekaterina Gritsenko,"Я  графический дизайнер, специализирующийся на разработке макетов баннеров и рекламных предложений, а также на разработке одностраничных сайтов. Имею опыт в брендинге, а пот&#8230; <span class='variable-text-link fake-link'> Read More</span></div><div class='variable-text variable-text-full hide'>Я  графический дизайнер, специализирующийся на разработке макетов баннеров и рекламных предложений, а также на разработке одностраничных сайтов. Имею опыт в брендинге, а потому могу помочь компаниям в позиционировании себя в Интернете с помощью уникального визуального образа.Буду рада сотрудничеству с вами в любое время!------------I am a graphic designer specializing in banner and promotional offer layouts and one-page website design. I have experience in branding, and therefore I can help companies in positioning themselves on the Internet with a unique visual image.I will be glad to cooperate with you at any time! <span class='variable-text-link fake-link'> Read Less</span></div>"
Karina Liman,None
Félix Arsenault,None
Promodo UI/UX,"Promodo is a multichannel marketing agency specializing in promotion of ecommerce projects. The company is a certified Google Agency for AdWords and Analytics with a number of PPC and SEO awards. The main expertise lies in search engine marketing, PPC campaign management, UX design, usability analysis and conversi&#8230; <span class='variable-text-link fake-link'> Read More</span></div><div class='variable-text variable-text-full hide'>Promodo is a multichannel marketing agency specializing in promotion of ecommerce projects. The company is a certified Google Agency for AdWords and Analytics with a number of PPC and SEO awards. The main expertise lies in search engine marketing, PPC campaign management, UX design, usability analysis and conversion rate optimization. The company has served around 350 clients based in the USA, UK and Europe, helping them solve various online marketing issues they faced <span class='variable-text-link fake-link'> Read Less</span></div>"
Hrvoje Grubisic,"Available for new projects!Contact me hello@hrvojegrubisic.comHOLOGRAPHIK® is a creative studio specialized in design and motion.Our work mainly covers strategy, art direction, web and mobile solutions, 3d and motion design."
Alexandr Pedchenko,None
Atul Charde,None
Artem Badbrother Pravda,None
Mikhail Yakovlev,"I'm a UI\UX & Web designer from Kharkov / Ukraine, with 4+ years of expirience. Open for interesting suggestions.Contacts :skype: yako.mihailmail: hi.yakovlev.mv@gmail.com"
Tran Mau Tri Tam ✪,"Tran Mau Tri Tam, UX/UI Web Designer.""Everything I do, I do it big""."
Pavel Chen,None
A Line Studio,"Progress through creativity —Partnering with bold, future-facing brands to drive transformation and growth. San Francisco & London."
Arkadiy Stebelev,None
Ki Severinova,None
Daniel Tan,"Hello! I’m Daniel. Design, Creative Director, and Co-Founder of Tofu Design. Please email your business enquiries to hello@tofudesign.co. I'm not often on Behance so I might miss it. Thank you!"
Anastasia Dianova,None
Александр Дум,None
Roman Tocheniuk,An experienced designer with a proven track record of creating user interface designs that look good and are commercially viable at the same time. The ability to always look for ways to improve an existing app so people can download and enjoy it. A strong eye for detail and perseverance to never give up on anythin&#8230; <span class='variable-text-link fake-link'> Read More</span></div><div class='variable-text variable-text-full hide'>An experienced designer with a proven track record of creating user interface designs that look good and are commercially viable at the same time. The ability to always look for ways to improve an existing app so people can download and enjoy it. A strong eye for detail and perseverance to never give up on anything until it's perfect. <span class='variable-text-link fake-link'> Read Less</span></div>
Zhenya Nagornaya,"Hi there!My name is Zhenya and I am a UX/UI Designer based in Wellington, New Zealand. I am very curious and passionate about web design and web development even though I am just in the beginning of my journey.I have good knowledge of Figma and Webflow, and basic knowledge of Photoshop, HTML, CSS and Javascript.&#8230; <span class='variable-text-link fake-link'> Read More</span></div><div class='variable-text variable-text-full hide'>Hi there!My name is Zhenya and I am a UX/UI Designer based in Wellington, New Zealand. I am very curious and passionate about web design and web development even though I am just in the beginning of my journey.I have good knowledge of Figma and Webflow, and basic knowledge of Photoshop, HTML, CSS and Javascript. I can do research, customer journey map, user flow map, competitor analysis, wireframing, prototyping and design. <span class='variable-text-link fake-link'> Read Less</span></div>"
makemepulse studio,"makemepulse is an interactive production company.We use emerging technologies to connect consumers to brands.Our focus is on real-time 3D, WebGL and WebVR, Virtual, Augmented and Mixed Reality, AI and Big Data.We happen to think people engage with experi­ences—not ads. When content is interactive, it's engag&#8230; <span class='variable-text-link fake-link'> Read More</span></div><div class='variable-text variable-text-full hide'>makemepulse is an interactive production company.We use emerging technologies to connect consumers to brands.Our focus is on real-time 3D, WebGL and WebVR, Virtual, Augmented and Mixed Reality, AI and Big Data.We happen to think people engage with experi­ences—not ads. When content is interactive, it's engaging. And when it's engaging, it creates an emotional connection that is memorable to people and valuable for brands.We aim to create content, utilities and platforms that are memorable because they're emotional. Valuable because they're personalised. Engag­ing because they're interactive. And continuous by making them available on any screen. <span class='variable-text-link fake-link'> Read Less</span></div>"
Double Vision,None
Yasin Arafat,"Hi, I am Yasin, freelance Web & Graphic Designer . Focused on designing beautiful interfaces & intuitive interactions. High quality is basis of my work! I am working around the world. Feel Free to contact me about the projects."
Lisa I.,None
Anatoliy Demyanchuk,None
Romain Passelande,None
The Moon,None
Marius Naujokas,None
Ksenia Buidenko,None
Ruslan Latypov,None
LS Graphics,None
Arlind Aliu,"Creative Developer based in Munich.I seek to create aesthetic, memorable and unique digital experiences.Contact:hello@arlindaliu.com"
Natalia Sviridenko,"Я создаю современные и стильные сайты с продуманной структурой, которые помогут вам  выделиться на фоне конкурентов.‌Принципы моей работы:* Активно изучаю новые тренды в дизане* Погружаюсь в ваш бизнес, разбираюсь в мелочах &#8230; <span class='variable-text-link fake-link'> Read More</span></div><div class='variable-text variable-text-full hide'>Я создаю современные и стильные сайты с продуманной структурой, которые помогут вам  выделиться на фоне конкурентов.‌Принципы моей работы:* Активно изучаю новые тренды в дизане* Погружаюсь в ваш бизнес, разбираюсь в мелочах и нюансах* Детально анализирую целевую аудиторию и конкурентов, подбираю варианты дизайна;* Я ценю время клиентов и своё, поэтому ответственно отношусь к срокам выполнения работ‌* Я оформлена как самозанятая, могу работать с юр. лицами по договору, выдавать чеки* После сдачи проекта «под ключ» я остаюсь на связи, консультирую клиента, обеспечиваю тех. поддержку сайта в течение двух недельМои контакты:Email: sviridenkomoscow@gmail.comWhatsApp: +7(996) 521-35-75Telegram: @natalinasvirSkype: natalija198111Буду рада сотрудничеству.С уважением, Наталья !***I create modern and stylish websites with a well-thought-out structure that will help you stand out from the competition.Principles of my work:* Actively studying new trends in design* I immerse myself in your business, I understand the little things and nuances* Analyze in detail the target audience and competitors, select design options;* I value my clients' time and my own, so I take responsibility for the deadlines of work* I am registered as self-employed, I can work with legal entities under a contract, issue checks* After the turnkey project is completed, I stay in touch, advise the client, provide technical support for the site for two weeksMy contacts:Email: sviridenkomoscow@gmail.comWhatsApp: +7(996) 521-35-75Telegram: @natalinasvirSkype: natalija198111I will be glad to cooperate.Sincerely, Natalia! <span class='variable-text-link fake-link'> Read Less</span></div>"
"Dmitriy B. ""Mate""","Hi everyone! I'm a web UX/UI designer. In love with small details, correct attention vectors, good contrast, rhythm and trendy grids. "
Agathe Girard,None
Manu Berlanga,"Mexican Graphic DesignerSpecializing in Branding and Logotype design.For new business inquiries, please contact:E .  hi@manuberlanga.com–––––––Focus:- Art Direction- Project Manager - Web Design- Branding - Creative Direction- Logotype design"
Zamil Ahamed,None
Dmytro Lutsenko,None
MindInventory 💼,None
Kateryna Bielash,"I graduated from Source IT courses in Kharkiv with excellent. I have developed multi-page sites for a rock band, for a home bakery shop as a volunteer. I also have experience in creating landing pages, posters, banners, icons, logos.I use Figma, Adobe Illustrator, Adobe Photoshop in my design projects."
Анна Бекренева,"Меня зовут Аня, я из Москвы. Делаю удобный и современный дизайн и качественную верстку сайтов. Постоянно обучаюсь, прохожу курсы и повышаю квалификацию, чтобы не отставать от трендов и использовать новые технологии. "
Masum Billah,None
Grigory Kopylov,26 y.o.UX/UI DesignerI am ready to consider your proposals for cooperation.
Marina Tyshchuk,Hello! I am a Kyiv-based digital product designer. Let's put some pixels together. 🌍 Available worldwide 👩🏻‍🎨 Open for freelance or part-time projectsServices:✔️ Website design✔️ App design✔️ UX/UI design✔️ Presentations
Sergey Voronov,doing magic ux/ui/frontend stuff at www.clinpal.com
Herman Scheer,None
Svetlana Nesan,None
Rafik Andraos,None
Netguru Team,"Netguru software Design Team helps innovators achieve business goals through exceptional design and data-driven consulting. Partner with us, and we’ll make your software a success. Sixty multidisciplinary and internationally recognized designers with experience in full-stack projects for startups, unicorns, and &#8230; <span class='variable-text-link fake-link'> Read More</span></div><div class='variable-text variable-text-full hide'>Netguru software Design Team helps innovators achieve business goals through exceptional design and data-driven consulting. Partner with us, and we’ll make your software a success. Sixty multidisciplinary and internationally recognized designers with experience in full-stack projects for startups, unicorns, and well-established enterprises will support you on your journey to growth. <span class='variable-text-link fake-link'> Read Less</span></div>"
Lyubava Tserkovnaya,None
Haseeb Rana,"I am Expert in Graphic & Web Designing, Animation, HTML, HTML5, CSS3 with ZERO cross browser/Platform Issue, JavaScript, JQuery, Image Optimization, Branding etc. which enables me to apply for your organization.I have Designed wide range of websites using HMTL5, XHTML, CSS3, including sites for start-up companie&#8230; <span class='variable-text-link fake-link'> Read More</span></div><div class='variable-text variable-text-full hide'>I am Expert in Graphic & Web Designing, Animation, HTML, HTML5, CSS3 with ZERO cross browser/Platform Issue, JavaScript, JQuery, Image Optimization, Branding etc. which enables me to apply for your organization.I have Designed wide range of websites using HMTL5, XHTML, CSS3, including sites for start-up companies and small businesses. I am seeking opportunities to build websites from the ground up for you or your business. <span class='variable-text-link fake-link'> Read Less</span></div>"
Maria Tsaregorodtseva,None
Alexandra Holodnaya,"Независимый дизайнер. Создаю сайты в авторском стиле, разрабатываю визуальные концепции для брендов и коммерческих инстаграм-профлей. Тильда-энтузиаст. Необычный, нишевый, экспериментальный дизайн — это про меня.За 4 года я имею опыт:— арт-директора на аутсорсе: формировала команды под конкретные проекты и реализовывала цели заказчика;— шеф-дизайнер&#8230; <span class='variable-text-link fake-link'> Read More</span></div><div class='variable-text variable-text-full hide'>Независимый дизайнер. Создаю сайты в авторском стиле, разрабатываю визуальные концепции для брендов и коммерческих инстаграм-профлей. Тильда-энтузиаст. Необычный, нишевый, экспериментальный дизайн — это про меня.За 4 года я имею опыт:— арт-директора на аутсорсе: формировала команды под конкретные проекты и реализовывала цели заказчика;— шеф-дизайнера в smm-агентстве;— основания собственного агентства;— работы в международном стартапе;— создания курса «Марафон по кейсам», где обучила уже более 120 дизайнеров презентовать свои работы.Благодаря развитию собственных проектов у меня сформировалось стратегическое мышление и я знаю, что значит быть заказчиком. Я полностью понимаю все этапы, с которым сталкиваются клиенты на стадии формирования, реализации и продвижения своих продуктов или брендов. Вижу, где можно оптимизировать бюджет, на что стоит обратить внимание в первую очередь, а что оставить на потом, какие процессы объединить и от чего отказаться.Кроме этого, я смотрю на проекты с разных ракурсов благодаря знаниям в смежных областях: маркетинг, фотография, SMM. Постоянно обучаюсь новому.Мой почерк в дизайне сформировался из любви к экспериментам и необычным решениям. Я изучала историю дизайна, графические стили, углубленно погружалась в философию швейцарской школы и направление польского плаката. Мне нравится интегрировать разные стилистики в свои работы: от минимализма до арт-деко и диджитализма.Каждый этап проекта я прорабатываю максимально детально, чтобы добиться желаемого результата, который устроит и клиента, и меня. Я всегда выстраиваю партнерские отношения с заказчиком, и мне важно, чтобы наши ценности перекликались. ✨ <span class='variable-text-link fake-link'> Read Less</span></div>"
SurendarV ✪,Hi! My name is surendarV.My design is simple & fresh. I work flexible with clients to fulfill their design needs. Work with me and create a project that you are gonna be proud of...SPECIFICATIONS╾╾╾╼╼╼╾╾╾╼╼╼» UI/UX Design» Web Design» UX Research» Mobile Android/IOS Apps Design
Hugo Leandro,Self-taught
andriy bata,None
Daphnie Loong,None
Unspoken Agreement,"A multi-discipline branding and design studio striving to create striking design that is both memorable and timeless. Promising hard work and beautiful design that communicates your brand's values and exceeds your wildest dreams, we partner with like-minded individuals who take pride in their brand, value expertis&#8230; <span class='variable-text-link fake-link'> Read More</span></div><div class='variable-text variable-text-full hide'>A multi-discipline branding and design studio striving to create striking design that is both memorable and timeless. Promising hard work and beautiful design that communicates your brand's values and exceeds your wildest dreams, we partner with like-minded individuals who take pride in their brand, value expertise and desire innovation.  <span class='variable-text-link fake-link'> Read Less</span></div>"
Denis Davydov,None
Sasha Vinogradova,None
Alina Pitsik,"Hello!I like to work with different projects in web-design and ui/ux. In addition to web design, I am fond of 3D graphics and illustration."
DLS DESIGN,"Ui / Ux DesignWeb & App DesignBranding Design & IdentitySolving Communicational￼ Problems In A Theatrical, Ingenious & Peculiar Fashion"
Aliona Bezpalko,None
Alex Star,"I'm a business analyst, UX designer, researcher. I am passionate about creating profitable projects and business solutions. always open to new ideas.Web UI/UX Design | Mobile UI/UX Design | UX Research & Strategy | Motion Design | Graphic Design | Logo Design | Marketing |Project inquiries : hello@extej.com or &#8230; <span class='variable-text-link fake-link'> Read More</span></div><div class='variable-text variable-text-full hide'>I'm a business analyst, UX designer, researcher. I am passionate about creating profitable projects and business solutions. always open to new ideas.Web UI/UX Design | Mobile UI/UX Design | UX Research & Strategy | Motion Design | Graphic Design | Logo Design | Marketing |Project inquiries : hello@extej.com or https://t.me/extej <span class='variable-text-link fake-link'> Read Less</span></div>"
Nikolay Matveev,None
Ann Malanicheva,"I am a graphic designer with a background in marketing and photography. I bring a positive attitude to every project. Whether it's business cards, a flyer, a poster, or a website, my unique combination of marketing know-how and design sense will give your next project a professional, polished look that will reflec&#8230; <span class='variable-text-link fake-link'> Read More</span></div><div class='variable-text variable-text-full hide'>I am a graphic designer with a background in marketing and photography. I bring a positive attitude to every project. Whether it's business cards, a flyer, a poster, or a website, my unique combination of marketing know-how and design sense will give your next project a professional, polished look that will reflect well on your audience. I love new and innovative solutions in design, I am glad to any comment. <span class='variable-text-link fake-link'> Read Less</span></div>"
Alevtina Ksenofontova,"Hello, my name is Alevtina and I`m UX UI designer. I am developing design for websites and mobile applications.I am always ready for new projects and collaborations."
Точка Старта,None
Christina Semenova,None
Nikita Kreyda,None
Artkai UK,None
Vladislav Lozhkin,"Салют🤘🏼Меня зовут Влад, я дизайню сайты в нише инфобизнеса.Мой главный принцип в дизайне – внимание к деталям и качественная проработка смыслов продукта.Дизайнил для лидер&#8230; <span class='variable-text-link fake-link'> Read More</span></div><div class='variable-text variable-text-full hide'>Салют🤘🏼Меня зовут Влад, я дизайню сайты в нише инфобизнеса.Мой главный принцип в дизайне – внимание к деталям и качественная проработка смыслов продукта.Дизайнил для лидеров рынка: Петр Осипов, Алексей Соболев, Радислав Гандапас, Евгений Мащенко, Артем Дюкарев, Наталья Марчукова, Павел Ронис, Анатолий Илле и другие.Свзяться со мной можно в Telegram или Instagram (ссылки в профиле). <span class='variable-text-link fake-link'> Read Less</span></div>"
Nikita Frolov,None
Julia Shataeva,None
Robin Kannard,"Multidisciplined creative living in Denver, CO with a passion for building comprehensive brands focused on communicating goals and values of a company to its audience.  "
Artkai DACH,None
Artkai USA,None
Krzysztof Kozak,Krzysztof Kozak is the Co-founder and leader of balsamstudio. He launched the studio in 2008 with ambition to create beautiful and functional brands with the strategic approach. We design brands. We design experiences. We create and develop brand strategy. We believe every brand has its own audience and stories &#8230; <span class='variable-text-link fake-link'> Read More</span></div><div class='variable-text variable-text-full hide'>Krzysztof Kozak is the Co-founder and leader of balsamstudio. He launched the studio in 2008 with ambition to create beautiful and functional brands with the strategic approach. We design brands. We design experiences. We create and develop brand strategy. We believe every brand has its own audience and stories to tell. <span class='variable-text-link fake-link'> Read Less</span></div>
Ghenima Addouche,"A creative passionate Website designer that specializes in E-commerce, Landing pages, Personal sites and more! I deliver smart designs to fit in our modern day world.• Branding• Prototyping• Mock up, Wireframe• UX/UI design• Storyboarding• Website Design• Mobile Design• Software Design"
Rolf Jensen,None
Diana Shakerova,"Hello!My name is Diana and I like interesting projects. I can make design or  redesign for your website. I work on online stores, landing pages and corporate websites.  I work exclusively on freelance conditions worldwide.If you really like my work and want to make a project together, please contact me shakero&#8230; <span class='variable-text-link fake-link'> Read More</span></div><div class='variable-text variable-text-full hide'>Hello!My name is Diana and I like interesting projects. I can make design or  redesign for your website. I work on online stores, landing pages and corporate websites.  I work exclusively on freelance conditions worldwide.If you really like my work and want to make a project together, please contact me shakerova.diana@yandex.ruДобрый день!Меня зовут Диана и мне нравится работать над интересными проектами. Я могу разработать дизайн или редизайн для вашего сайта. Работаю над созданием лендингов, онлайн-магазинов, корпоративных сайтов и сайтов-визиток. Если вам нравятся мои работы, то я открыта к предложениям по сотрудничеству. ВЫ можете связаться мо иной по почте shakerova.diana@yandex.ru <span class='variable-text-link fake-link'> Read Less</span></div>"
Daniil Sarychev,None
Анастасия Стома,None
